time,temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),precipitation_sum (inch),rain_sum (inch),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h)
12/27/2015,51.9,29.1,46.5,22.3,0,0,4.8,12.1
12/28/2015,47.3,34.7,40,28.8,0.031,0.031,8.1,18.3
12/29/2015,48.7,30.7,44.4,25.5,0,0,3.5,9.4
12/30/2015,51.1,31.4,45.9,26,0,0,4.5,11.9
12/31/2015,52.9,31.6,47.6,26,0,0,5.2,10.3
1/1/2016,54.9,33.3,49,27.7,0,0,4.1,11
1/2/2016,57.5,39,51.8,33.7,0,0,3.9,10.5
1/3/2016,60.9,37.6,56.7,32.6,0,0,5,8.7
1/4/2016,54.7,38.9,50.9,34.8,0.098,0.098,6.7,12.3
1/5/2016,55.5,43,52.8,39.6,0.898,0.898,11.3,29.1
1/6/2016,51.6,42.6,47.2,37.8,0.437,0.437,11.8,24.6
1/7/2016,53.2,39.9,48.6,35.1,0.035,0.035,9.2,17.4
1/8/2016,51.8,38.1,48.4,33.7,0,0,4.8,12.5
1/9/2016,53.1,41.1,50.1,37.1,0.075,0.075,5.6,11.2
1/10/2016,56.8,45.3,54.9,41.4,0.043,0.043,5.2,8.9
1/11/2016,59.5,39.7,56.7,35.1,0,0,4.5,8.9
1/12/2016,60.3,36.7,56.5,31.2,0,0,6.4,14.8
1/13/2016,62.6,42.9,61,36.8,0.142,0.142,8.9,17
1/14/2016,56.5,40.9,53.5,36.4,0.039,0.039,6.7,13
1/15/2016,59.7,44.5,56.6,40.9,0.122,0.122,6.5,18.6
1/16/2016,60.6,45.3,59.9,42,0.035,0.035,4.7,11.4
1/17/2016,63,41.2,61.2,36.8,0,0,7.2,13.2
1/18/2016,61.2,49.3,60.7,46.9,0.398,0.398,6.7,15.4
1/19/2016,55.6,47,54.4,44.6,1.016,1.016,10.2,27.3
